text,stance
"""విశాఖ"" (వైజాగ్) రాజధాని గా ఎదగాలని కోరుకునే వారికి, ""విశాఖ""(వైజాగ్) గోప్పతనం తెలిసిన వారికి... ఒక రాష్ట్రానికి ఇటువంటి నగరం రాజధాని ఐతే ఆ రాష్ట్ర రూపురేఖలు మారతాయ్ అనటం లో ఎటువంటి సందేహం లేదు... ఆంధ్రప్రదేశ్ కి కాబోయే 3 రాజధానుల్లో ఒక రాజధాని మన ""విశాఖ""...",favour
ప్రతిపక్షం ఎప్పుడు ప్రభుత్వాల మీద బురద జల్లే ప్రయత్నం చేస్తూనే వుంటారు ముఖ్యమంత్రి గారు ఎక్కడ కూర్చునైనా పరిపాలన చేయవచ్చు అని నా అభిప్రాయం,favour
పనికిమాలిన సీఎం వైస్ జగన్ జక్లక్ కు వచ్చింది పిచ్చి పరిపాలన పిచ్చి వాగుడు ఒక పక్క ఆర్ధిక మాన్యం ఉంటే ఎవరు సార్ అక్కడ పెటేది రియాలిటీ వేరేవుంటుంది.,against
Hyderab కి దీటుగా ఉండాలి అంటే Vishakapatnam is best,favour
నీ పెళ్ళాం పూకు waste cm,against
Mr. Ak అప్పుడు సీఎంలు కూడా జిల్లాకొకరు కావాలికదా నీకు బుద్దివుండే మాట్లాడుతున్నవా జై అమరావతి,against
"రాజ శేఖర్ రెడ్డిగారు అదికారములో ఉన్నాపుడు విపక్షలను కలుపుకొని, గౌరవీస్తూ పరిపాలన ముందుకు సంఘీభావం తో ఉండేవారు. కా ని jaghan గారూ అందుకు వ్యాతీ రేఖంఘా మోడీ,సా కు షీగా మొండి గా, వ్యతిరేకం గా, పాలనా చేయటమే జగా మొండీ లక్షణము. ఈ మొండీ వ్యాతిరేకత AP కి ప్రత్యేక హోదా తేవటాము లో ఉంటే బాఘుంటుంది. రాజధాని విశాఖా మార్చే విషయము లో ఉన్నా మొండి వైకారి, AP కి special status శ్రద్ధ చూపితే, Jaghan AP కి న్యాయం చేసినట్లే.",neutral
4years పట్టింది అన్నకి,against
జగన్ గాడు సపోర్ట్ గా మాట్లాడుతున్న టీవీ9 వాళ్ళు సోది మాట్లాడటం ఆపి నిజాలు చెప్పండి ప్రజలకు,against
Ni సొల్లు కబుర్లు కాకరకాయలు వేరే వారికి చెప్పు,against
నువ్వు చేసింది ఏంటి. అది ఆల్రెడీ క్యాపిటల్.,against
రిషికొండ కి బాగా గుండు చేసున్నరు,neutral
తినడానికి తిండి లేదు గానీ.......మీసాలకు సంపంగి నూను కావాలన్నటుంది ......సీఎం పని,against
chaitanya chaitanya విశాఖలేదు నా మొడ్డ లేదు,against
వైఎస్సార్సీపీ భజన చేస్తుంది టీవీ9,against
కోర్టు నే లెక్కచేయడం లేదు జగన్ ఇంకా కోర్టు ఎందుకు కోర్టులో జడ్జి ఎందుకు,against
ఏపీ కి మూడు రాలేదు శని పట్టింది దరిద్రం పట్టింది దేబిరి ఎదవ,against
ఎందుకమ్మా ఐలవ్యూ జగన్ సార్ అని చెప్తున్నావ్. మీలాంటి అమ్మాయిలు ఉన్నారు కాబట్టే. ఇలాంటి అవినీతిపరుడు మన ఏపీకి సీఎం గా ఉన్న ఉండటంవల్ల వేరే రాష్ట్రాల్లో ఉన్న ప్రజలు కుక్కను చూసినట్లు చూస్తున్నారు ఏపీని. ఈ మూడు సంవత్సరాలలో చేయలేని ఎదవ ఈ రెండు నెలల్లో ఏం పీకుతాడు అని నువ్వు కృతజ్ఞత చెప్తున్నావు,against
Mr-GTA అవును బాబు alrey with infrastructure facilities tho rey ga ఉన్నటివంటి vizag ni 2014 lo capital పెట్టి ఉంటె ఇప్పటికే ఎంతో కొంత development జరిగి ఉండేది ఇప్పుడు కొత్త companies వచేవి TDP government కూడ ఉండేది చేసిన తప్పుకు బాబు ఇప్పుడు అనుభవిస్తునడు,favour
అమరావతిని చెడ్డీ రెడ్డి నాసనం చేసాడు...15 కోట్లు ఉన్నా ఎకరం 3 కోట్లు కి పడి పోయింది వీడు వచ్చాక...,against
బాబు ని నమ్మితే అంతే మరి రియల్ వ్యాపారం కాదు కదా రాజధాని అంటే....,against
ఒరేయ్ లుచ్చ నా కొడకా బీజేపీ ప్రత్యేక వాదిస్తానన్నారు కదరా ఏమైందిరా లోఫర్,against
"‪నువ్ సియం గా ఉంటే ఎవుడ్రా వస్తాడు పెట్టుబడి పెట్టడానికి?? నువ్వు చేతకాని వాడివి అని నీకు నువ్వే ఒప్పుకున్నవు. NTR,YSREDDY(ne babu),కిరణ్ కుమార్ రెడ్డి,రోశయ్య,NCBNAIDU అందరు అభివృద్ది చేసిన విశాఖను రాజధానిగా చేసిన ని గొప్ప తనంఎమ్ లేదు... మూడు రాజధానుల అనేది కేవలం ఇక్కడ ప్రజల మధ్య ప్రాంతీయ విద్వేషాలు రెచ్చగొట్టి పబ్బం గడుపుకునేందుకే, మూడు రాజధానులు అనేది కేవలం ప్రకటనలకు మాత్రమే పరిమితమని రుజువు చేసిన jail రెడ్డి..‬",against
"అమరావతే ఏకైక రాజధానిగా ఉంటుంది, విశాఖ రాజధాని అవ్వదు.",neutral
"గ్రాఫిక్స్ క్యాపిటల్ నుంచి నిజమైన,ఘనమైన, మెరుగైన రాజధాని వైపుగా పచ్చ కులం కుట్రలను తొక్కుకుంటూ... ------ స్థిరమైన అడుగులు పడినట్టే",neutral
అయన చెప్పాడు అంటే ఐపోతుంది అంతే,favour
కోతి కి కొబ్బరి చిప్ప దొరికినట్లు ఉంది ఈ 420 కీ,against
మీ పప్పు గాడు.. పావలా పకోడీ గాడు అయితే నీకు కావలసినట్టు 26. కాదు.36 Capitals కూడా చేస్తాడు..,favour
3*3 తు నీ నాశనం చేశారు కదే ఆంధ్రను,against
నీ TV లో భజన తప్ప ఏం ఉండదు.,against
మూడొస్తే పెట్టించుకొ.,against
మీ ఇంట్లో ఆడవాళ్ళని పంపి పెట్టుకుంటారు,neutral
"ఆంధ్రప్రదేశ్‌లో హిందువులపై అఘాయిత్యాలకు, మతమార్పిడులకు, హిందూ సంస్కృతి విధ్వంసానికి, హిందూ దేవాలయాల విధ్వంసానికి సీఎం జగన్‌మోహన్‌రెడ్డి వంటి క్రైస్తవులే కారణమన్నారు. ఈ క్రైస్తవులు ఆంధ్ర ప్రదేశ్ వంటి దక్షిణ భారతదేశంలో హిందూ సంస్కృతిని నాశనం చేస్తున్నారు, హిందువులను హింసిస్తున్నారు, హిందూ దేవతల విగ్రహాలను అమ్ముతున్నారు మరియు పగలగొడుతున్నారు. మనమందరం కలిసి మన సంస్కృతిని కాపాడుకోవాలి. నిద్రపోతున్న ఆంధ్ర ప్రదేశ్ హిందువులు ఇప్పటికైనా మేల్కొని హిందూ సంస్కృతిని ఈ క్రైస్తవుల బారి నుండి కాపాడాలి.",neutral
ఎర్రగడ్డ ... జగన్ క్రియేటివిటీ రా అయ్య... 3 .రాజధానులు... తుకలక్ మళ్ళీ పుట్టాడు....,against
useless fellows think.3 capitals చివరకు క్యాపిటల్ లేని స్టేట్ గా మార్చారు.మాఫియా గ్యాంగ్.,against
3 capitals ఏంటి గొర్రెలు మాత్రమే ఇలాంటివి encourage చేస్తాయి,against
క్యాపిటల్ లెస్ AP,against
"Yellow మీడియా. Dangerous than ఈనాడు, ఆంధ్ర జ్యోతి",against
విశాఖలో చేసిన అవినీతికి అమరావతి సాక్షిగా శిక్ష వేస్తే కుర్నూల్ జైల్లో మళ్ళి చిప్ప కూడే,neutral
మూడు రాజధానిలా? మాకు అవసరంఎందుకు?,against
Waste వైసీపీ జగ్లక్,against
విశాఖలో చేసిన అవినీతికి అమరావతి సాక్షిగా శిక్ష వేస్తే కుర్నూల్ జైల్లో మళ్ళి చిప్ప కూడే,neutral
"Gobbilla Nagarjuna స్వామి,I am not going to speak about politics. But what is logic behind this 3 capitals. If government wants to make Visakhapatnam as capital make it as single capital. Show me one State (especially smaller with population of just 4 crores) in Bharat which has this 3 capitals. Gujarat has High court in Ahemdab and Capital is Gandhinagar accepted. But both are not far away. It's just 30 kms journey. And why should legislative be so far away from Exceutive capital? Make Visakhapatnam as single capital. No need of 3 capitals... Take example of Bharat. Our capital is Delhi. But Mumbai is known as Financial capital by many. Banglore/Hyderab as IT capitals. But has anyone officially gave that statement? No because it's not needed. Swami I remember Jharkhand (I guess) didn't h any major city while it was declared as new State. But they devolped it very well. Can you please tell me one thing Are you sure there is no real estate angle on making Visakhapatnam as just Executive Capital and not Single capital?",against
"Sivaramaraju D స్వామి, వలు చేసిన తపు మరియు పరోపటులు నో ఈపుడు వున ప్రభుత్వం చేయకూడదు. కానీ అదే గర్గతెలేదు...",against
Telugu Bidda చంద్రబాబు విషయంలో కూడా అంతే కదా,against
"సుప్రీం కోర్టు,రాజధానిని ,ఇది అని చెప్పాడు , రాజధాని అనేది స్టేట్ గవర్నమెంట్ ఇష్టం,ఎవరికీ తెలియదు,p p.",against
ఈ ప్రసాద్ కూడా బ్లూ బ్యాచ్ లో జాయిన్ అయ్యాడు,against
మరో సీమాంద్ర ఎన్నోరోజులు లేదు మరో12 జిల్లాల సీమాంధ్ర త్వరలో,against
వీడికి చంద్రబాబు ని జగన్ ని చీకడం ముఖ్యం అది వీడి మాడ్యూల్!,against
తింగరోడు తిరునాళ్లు కెళ్లితే ఎక్క........... దిగ ..... తప్ప మొక్కలేదంట..................,against
హైకోర్ట్ 3 రాజధానుల బిల్లు కొట్టేసిన తర్వాత అమరావతే రాజధాని. తుగ్లక్ ఆ తీర్పుని సుప్రీం కోర్టులో చాలెంజ్ చేసాడు.. ఇప్పుడు కోర్టు తీర్పు వచ్చేదాకా ఆగకుండా వాడి సొంత తీర్పు ఇస్తే ఇక సుప్రీం కోర్టు ఎందుకు?? హ హ హా.. తుగ్లక్ కి మళ్ళీ బొక్కలో వేసి చిప్ప కూడు పెడితే గాని కోర్టులంటే గౌరవం రాదు..,against
"అభివృద్ధి వికేంద్రీకరణలో భాగంగా ... ఇన్వెస్టర్స్ ని ఆకర్శించడం దృష్ట్యా ... రవాణా వ్యవస్థ సౌకర్యవంతంగా ఉండటం దృష్ట్యా ... మౌలిక వసతుల దృష్ట్యా.. ప్రజల ఆకాంక్ష దృష్ట్యా ... రాజధాని ""విశాఖపట్నం"" అవుతుంది. (అమరావతికి వచ్చి పెట్టుబడులు పెట్టమంటే ఎవడు వస్తాడు)",against
అరే Anchor ముఖ్యమంత్రి ఎక్కడ కూర్చుంటే అదే రాజధాని,favour
"నీకు ఏమీ తెలియదని మాకు తెలుసు. కేంద్ర ప్రభుత్వం వేసిన శివరామ కృష్ణన్, శ్రీకృష్ణ కమిటీలు ఏమీ చెప్పారు. హైకోర్టు వేరే చోట పెట్టమని చెప్పలేదా ? పంటలు పండే భూముల్లో పెట్టవద్దని చెప్పలేదా? కేంద్రం ఏమైనా అమరావతి లో పెట్టమని చెప్పిందా? కేవలం రియల్ ఎస్టేట్ వ్యాపారం కోసమే అక్కడ పెట్టారు.",against
భవిష్యత్తులో విశాఖ రాజధాని ఆని చెప్పారు,against
"విశాఖపట్నం కేంద్ర పాలిత ప్రాంతం కాదు విశాఖపట్నం కేంద్ర పాలిత ప్రాంతం కాదు 20,000 మంది చూశారు 8-1-2023 దయచేసి పూర్తీగా చూడంది మీ బందు మిత్రులకూ , శ్రేయోభిలాషులకూ షేర్ చెయ్యండి మంచి అవగాహన కోసం Vuzak AP Capital Viewed by 37,000 File dt 18 dec 21",against
"విశాఖపట్నం కేంద్ర పాలిత ప్రాంతం కాదు విశాఖపట్నం కేంద్ర పాలిత ప్రాంతం కాదు 20,000 మంది చూశారు 8-1-2023 దయచేసి పూర్తీగా చూడంది మీ బందు మిత్రులకూ , శ్రేయోభిలాషులకూ షేర్ చెయ్యండి మంచి అవగాహన కోసం Vuzak AP Capital Viewed by 37,000 File dt 18 dec 21",against
సి.ఎమ్.కాంపు ఆఫీసుకు మరియు రాజధాని మధ్య తేడా కూడా తెలియని వ్యక్తులను డిబేట్ కు వస్తారు,against
ఏపీ తుగ్లక్ పాలన రాష్ట్రం మొత్తం నాశనం చేశారు. ఎక్కడ అభివృద్ధి జరగలేదు,against
ఇన్ని రోజులు నువ్వు పెద్ద తెలివి గల వాడివని అనుకుంటూ ఉన్నాను కానీ చంద్రబాబు నిర్ణయం తీసుకున్నారు రాష్ట్ర ప్రభుత్వం నిర్ణయం అని కేంద్ర ప్రభుత్వం చెప్పింది నువ్వు ఆంధ్రపదేశ్ లో ఉన్నావా ప్రసాద్,against
అయ్యో పాపం ap ప్రజల పరిస్థితి చూస్తుంటే. నాకు చాలా నవ్వు వస్తుంది,against
420&6093 jagan YCP ఇంటికి పోయేకాలం దగ్గర పడింది. ఒక్క ఛాన్స్ అయిపోయింది,against
Dont divert people by playing cut and paste వీడియోస్..... Play full వీడియో then we will come to know that what jagan told in assembly....,against
ఏపీ రాజధాని ఎప్పటికీ అమరావతి జై అమరావతి,against
Immatured people dont understand matured thoughts of our honourable CM. ఇది ప్రజల అభిప్రాయం కాదు. బుర్ర లేని స్వార్ధ రాజీకీయ నాయకుల కుట్ర,favour
ఆంధ్ర ప్రదేశ్ కి క్యాపిటల్ అయ్యే కెపాసిటీ వైజాగ్ కి మాత్రమే ఉంది.,favour
Bro kibho coin మీద trolls చేయండి..,against
వెస్ట్ cm,against
మాది విజయనగరం నాకు కూడా మా రాజధాని నగరం అమరావతి గానే ఉండాలి అని కోరికి,against
ఏపి జనాలు అయ్యారు చివరకి ఎర్రి లు,against
Brother edi oka ప్రాంతం..ఇంకొక ప్రాంతం సమస్య కాదు.... ఇది ఆంధ్ర ప్రదేశ్ రాష్ట్ర ప్రజల సమస్య ... రాజధాని లేని.... అభివృద్ధి లేని..ఆంధ్ర ప్రదేశ్....దేశ విదేశాలలో...అందరూ నవ్వుకుంటున్నారు ....ఆంధ్ర ప్రజల మైన మేము ఎంతో దురదృష్ట వంతులము....,against
"విభజన చట్టం లో స్పెషల్ staatus లేదా మోడీ గారు. అది గుర్తు రాలేదా PM Sir,",against
"మోడీ నాయుడు, అమిత్ షా నాయుడు వీళ్ళందరూ కమ్మ వాళ్ళు కాబట్టి చంద్రబాబు నాయుడు గారు చెప్పినట్టు ఆడుతున్నారు అందుకే ఇప్పుడు కేంద్ర ప్రభుత్వం‌మీద కూడా కేసువేసి, పక్క దేశం‌ పాకిస్తాన్ లో రాజధాని పెడదాం ycheapee Jalaga",against
వైజాగ్ రాజధాని అవుతుంది జై జగనన్న,favour
"చంద్రబాబు నాయుడు, పవన్ కళ్యాణ్, k A పాల్, మీద కూడా ట్రోల్ వీడియోలు చెయ్",against
ఏంటి ఏపీ సీఎం పైన ఇలాంటివి మీకు మనసు వచ్చింది వైజాగ్ రాజధాని పక్క రాసుకోండి అందరూ,favour
Adani roast chey భయమా neeku,against
ఇక్కడ నాకొక క్లారిటీ రాలేదు. ఇంతకీ AP కాపిటల్ ఏమిటి,against
ఎవడికి తెలుసండీ ఎవడికి తెలుసు,against
Trolling king ఉన్నవా సచ్చావా,against
ఆంధ్రప్రదేశ్ ప్రజలు పరిస్థితి,against
"Vinay u pedda teda gu Reddy antu Cristian antu , సంకర జతి",against
జై బాలయ్య,against
విశాఖపట్నం లో తుఫాన్ ప్రభావం ఏర్పడితే అప్పుడు రాజధాని పరిస్థితి ఏమిటి,against
Inko 6months లో ఎలక్షన్స్ వస్తున్నాయి ka అందుకే ఇప్పుడు మాకు కూడా capital undi అని మీరే చెప్పుకోవాలి....,against
Executive capital విశాఖపట్నం ok బాగానే ఉంది. రేపు కర్నూల్లో హైకోర్టు లో కేసులు వస్తే ప్రభుత్వం తరుపున లాయర్లు అమరావతికి వచ్చి అక్కడ డాక్యూమెంట్స్ ను కలెక్ట్ చేసుకొని మళ్ళీ కర్నూల్ వెళ్లి అక్కడ హై కోర్టులో కేసులు వాదించాల ?,against
నువ్వు చెప్పింది ఎలా ఉందంటే నీ ముక్కు ఎది అని అడిగితే తలా చుట్టూ చూపుడు వేలు తిప్పి చూపి నట్లుంది.,against
Raghuvir 1999 మీ Paytm కుక్కలకి కళ్ళు మింగాయ్ భయ్యా... అందుకే కన్పించవు... అయినా మీ Paytm కుక్కలకి నిజాలు నచ్చవులే... మీకు అంత common sence ఏడ్చి చస్తే కదా... మీ అన్నకే sense లేదు మీకు ఎలా వస్తుంది,against
Raghuvir 1999 అరేయ్ బాబు... మీ అన్నవి మాటలు మాత్రమే... చేతలు ఉండవ్... నువ్ అనవసరంగా ఆవేశపడకు... రాజధానికి ఇటుక కూడా వేయలేడు... Be Cool,against
ఏపీ తుగ్లక్ పాలన రాష్ట్రం నాశనం. ఎక్కడ అభివృద్ధి జరగలేదు.,against
సుపర్,favour
"Pachha koolie bath leduraa only blue cross batch vundi ey Sakshi,TV9,NTv,CVR,10tvSwathamthra,TImes of I,deccan crinicle,హిందువులు లేని The హిందూ,NDTV,CNN,C,ithara payt mm social medias ఇవన్నీ పక్క బ్లూ cross coolie మీడియాలు.",against
Orey Sharma lanjaakodakaa eppudu vujawa రాజధాని అని CBN cheppaleduraa దౌర్భాగ్యపు నాకొడకా ఎందుకురా నీ బతుకు thagala అబద్ధాలు మీ సంకర జాతి క్రిస్టియన్ పార్టీకి పుట్టుక తో వచ్చిందిరా వేదావా.మారి జగన్ గాడు ఏమన్నాడురా అమరావతి కి అంగీకారం చెప్పాడు కదా నింది శాసన సభలో తరువాత మాట మార్చింది ఆ చిప్ప కుడు తిన్న సంకరజాతి కేరళ క్రిస్టియన్ రా వెదవ ఇకనైనా నీ నోరు మూసుకో లేదంటే జనాలే జగన్ ఇంటి పైకి దాడి చేస్తారు including employees and teachers. ఒరేయ్ నీవన్నట్లు క్యాపిటల్ అనేది రాష్ట్ర విచక్షణే అన్నావు కదా రేపు వేరే govt vasthey appudu vaallakistamaina chota రాజధానికి వప్పుకుంటావా ఎరా సన్నాసి ఏమి chuvukunnaavu raa vedava bahusaa RajaReddy రాజ్యాంగం చదివుంటావు .,against
ఔను సార్ ... విజయవాడ అని చెప్పాడు రాజధాని కాని తరవాత అమరావతి ని తీసుకుని వచ్చాడు ... మీరు చేపించి అక్షరాలా కరెక్ట్,favour
"Wonderful explanation. చంద్రబాబు దగుల్బాజీతనం, దుర్మార్గం, దౌర్భాగ్యం అందరికీ మరోసారి అర్థమయ్యే లా చక్కగా వివరించారు.",favour
ఈనాడు రామోజీ గాడు కిరోసిన్ దొంగ ఏబీఎన్ రాధాకృష్ణ గాడు చంద్రబాబు పోతే ఎపి రాష్ట్రం బాగుపడతాది చెత్త నా కొడుకులు,against
"చంద్రబాబు స్కిల్స్ డెవలప్‌మెంట్ స్కామ్, జేడీ లక్ష్మీనారాయణ రోల్, లోకేశ్ ఆప్టికల్ ఫైబర్ గ్రిడ్ స్కామ్, ఈఎస్‌ఐ స్కామ్, టెలిఫోన్ ట్యాంపరింగ్ సాధనాల కొనుగోలు కేసు ఎన్‌ఫోర్స్‌మెంట్ డైరెక్టరేట్ విచారణ చేపటాలి",against
కాగ్ రిపోర్టులో చంద్రబాబు లెక్కల్లో లేని నిధులు 1.11 లక్షల కోట్లు ఎన్‌ఫోర్స్‌మెంట్ డైరెక్టరేట్ విచారణ చేపటాలి,against
"చంద్రబాబు అమరావతి రియల్ ఎస్టేట్ వ్యాపారం చేసాడు, తనకులం వాళ్ళతో భూమి కనిపిచాడు",favour
చంద్రబాబు రాయలసీమ ద్రోహి,against
"ఎప్పుడు CBN cheppaleduraa vedava vijayawa రాజధాని అని .పిచ్చిపోకా నీవు ఆ విధం గా Paytm batch gaa మాట్లాడాలి కాబట్టి మాట్లాడుతున్నావు గొర్రె నాకొడకా.వెళ్ళారా వెళ్లి తాడేపల్లి పాలస్ లో జగన్ గాడి,వాడి పెళ్ళాం పాదాలు వత్తు అబద్ధాలు చెప్పే బదులు అదొక ఛానల్ అబద్దాల వ్యభిచార డబ్బుతో పెట్టిన ఛానల్ పేపర్.",against
5సం.లు చంద్ర బాబు నాయుడు గారు ఎవ్వరి మొడ్డ మీద బొచ్చు పీకాడు.,against
Globel pracharaniki చక్కగా సరిపోతుంది సాక్షి పేపర్కి సరిపోతుంది మన పేపర్ గుండెపోటు అనిమోత్తు కొని సొంత మామ గాయాలకు కుట్లు వేసినా గుండెపోటు అనిప్రచారం చేసి పోస్టుమార్టం report వచ్చేసరికి టిడిపి చంద్రబాబు చంపాడని చెప్పిన సాక్షి పేపర్ తమ boss గురించి నిజాలు ఎలా చెబుతారు సీబీఐ వేసినా చర్శీట్ చదివితే తెలుస్తుంది నిజం.,against
కర్నూల్నుంచి విశాఖకు విమానసెర్విస్ లు వున్నాయి.,against
"తప్పుడు,ప్రచారాలు చేయడ ,ఈనాడు అలవాటు,",against
జయహో జగనన్న జయహో....,favour
విభజన హామీలు నెరవేర్చమని పదే పదే చెప్పుకునే కేంద్రం శివరామకృష్ణన్ కమిటీ సిఫార్సులను అమలు చేయకుండా విభజన చట్టాన్ని విస్మరించిన నారా చంద్ర నాయుడికి సహకరించిన అప్పటి కేంద్ర ప్రభుత్వం మీద సుప్రీంకోర్టు చర్యలు తీసుకోవాలి శివరామకృష్ణన్ కమిటీ సిఫార్సులను అమలు చేయకుండా నారాయణ సిఫార్సులను ఎందుకు అమలు చేయవలసి వచ్చిందో పూర్తి దర్యాప్తుకు సుప్రీంకోర్టు ఆదేశించాలి విభజన చట్టాన్ని తయారు చేసిన విభజన చట్టంలోని అంశాలు నెరవేర్చవలసిన బాధ్యత కేంద్రానిదే ఆ బాధ్యత చంద్రబాబు నాయుడు చేస్తాడో లేదో చూడకుండా వేల కోట్లు చంద్రబాబు కిందికి ఇవ్వాల్సి వచ్చిందో పూర్తి దర్యాప్తుకు ఆదేశించారు కేంద్రము ఇచ్చాను అని చెబుతున్న వేలాది కోట్ల రూపాయలు చంద్రబాబు నాయుడు తాత్కాలిక భవనాల పేరుతో విచ్చలవిడిగా ఖర్చు చేస్తుందటే దానికి ఎందుకు అడ్డుకట్ట వేయలేకపోయిందో సిబిఐ దర్యాప్తుకు సుప్రీంకోర్టు ఆదేశించాలి ఒకవేళ రాజధాని నిర్మాణం రాష్ట్ర ప్రభుత్వం యొక్క ఇష్టమని కేంద్రం తలుచుకుంటే ఇప్పుడు జగన్ ప్రభుత్వాన్ని కూడా పూర్తి స్వేచ్ఛ ఉందని అఫిడవిట్ దాఖలు చేయాలి కేంద్ర ప్రభుత్వము పర్మినెంట్ భవనాలకు డబ్బులు ఇచ్చిందా లేదా తాత్కాలిక భవనాలు డబ్బులు ఇచ్చిందా స్పష్టంగా సుప్రీంకోర్టుకు తెలియజేయాలి ఒకవేళ పర్మినెంట్ భవనాలకు డబ్బులు కేటాయించినట్లు అయితే అమరావతి లో తాత్కాలిక భవనాలు నిర్మించిన చంద్రబాబు నాయుడు ప్రభుత్వం మీద చర్యలు తీసుకోవాలి,against
మరి 3 రాజధానుల గురించి.. జగన్ ఎన్నికలముందు చెప్పలేదు...,against
మరి పచ్చ మీడియా లో,favour
Mogodu అందుకే బాబు గారికి సూసూ పడుతావుంది,against
సార్ ఇలాంటి నివేదికలను పాప్లేట్ లు ప్రింట్ చేయించి ప్రతి వ్యక్తికి కరపత్రంలా పంచి బొల్లి బాబుకి నోంట్లి ఉమ్మించాలి,favour
"అబ్బా .. మీరు పత్తిత్తులా .. అవినాష్ ఎవడి order కింద వివేకాని హతం చేసింది , చేసాక phone అన్ని సార్లు తాడేపల్లి చేసింది మన జలగ order ఎలా ఇచ్చింది .. తరువాత జలగ చేప్పే కాకమ్మ కథలు .. ఆపై తల commode కేసి చంపటం story చెప్పింది ... ఏది సాక్షి news లొ .. లొల్లిగా పోతే ..",favour
శివరామకృష్ణన్‌ రిపోర్టు ఏమ్మింది. అని చంద్రబాబుని అడుగులేక .పోయింది. ఈ బి జే పి నాయకుడు ఎన్నోళ్ళయిన డోప తిరుగుడు మాటలే,favour
పురుషోత్తం రెడ్డి గారికి ఉన్న తెలివి ఈ ప్రభుత్వం కి ఎందుకు లేదు,against
సార్ మీలాంటి వాళ్ళు ప్రభుత్వం లో ఉండాలి,favour
చంద్రబాబు గారు చెప్పిన విషయాన్ని ముఖ్యమంత్రి ఎందుకు సమాధానం చెప్ప లేదు.,favour
ఇప్పుడు దాకా ఏమి నాకుతున్నారు ఈ వీడియోని ఇప్పుడు దాకా ఎందుకు చూపించలేదు సాక్షి సోషల్ మీడియా అందుకే కదా మనము వెనుక పడుతుంది,against
అంటే బ్రదర్... అడ్డంగా book అయినప్పుడు కవర్ చేసుకోడానికి కొంచెం టైం పడుతుందికదా.. .. జనాల్ని ఇంకా ఎలా ఫూల్స్ చెయ్యాలో ఆలోచించాలికదా,against
420 లాంటి నీచుడు మన రాష్ట్రంలో పుట్టడం ఆంధ్రప్రదేశ్ చేసుకున్న పాపం . వీడు నిజం మాట్లాడితే చస్తాడు . పుట్టుకే ఒక అబద్దం .,against
లక్ష యాబై వేల కోట్ల రూపాయలు.. 29 గ్రామాల పచ్చ రైతులకు దోచిపెడితే... రాష్ట్రంలోని మిగిలిన ప్రాంతాలకు చెందిన రైతుల పరిస్థితి.. వారు అడుక్కుతినాల..... మీ పచ్చ రైతులు మాత్రమే.. ప్రత్యేక విమానాలలో తిరగాల......,favour
రైతులు అంటే...... పచ్చ రైతులు మాత్రమే నా.... మిగిలిన ప్రాంతాలకు చెందిన రైతులు కష్టపడవలసిందనా బాగుపడకూడదా...... మిగిలిన ప్రాంతాలకు చెందిన రైతుల స్వేదంతో.. రక్తంతో.. కష్టంతో...ఆ ప్రాంతాల రైతుల డబ్బులతో 29 గ్రామాలకు చెందిన పచ్చ రైతులు మాత్రమే బాగుపడాల......,favour
మూడు ము క్కలు చేయండి రా. ఇంకా బాగా ఉంటుంది.,favour
