Comments,stance
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపారు…,against
"లేని సత్తాని ఉన్నట్టు చూపించి, బలవంతంగా ప్రజల మీద రుద్దాలని చూస్తే అనార్థలే జరుగుతాయి జగన్",against
టీడీపీలోకి 16 మంది వైసీపీ ఎమ్మెల్యేలు ? జగన్ లో వణుకు   జగన్  ,against
"వైసిపి పోటీ చేసి ప్రతి చోట గెలవాల్సిన అవసరం వెంకటరెడ్డిని నేను వికీభవిస్తాను, జనసేన నేత కామెంట్స్ …",against
ఏపీలో ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు ఓటేసిన సీఎం జగన్‌ (ఫోటోలు),favour
"టీడీపీ కి దూరంగా ఉన్న ఎమ్మెల్యేలు కూడా మాకే ఓట్ వేస్తారు - AP Taneti Vanitha - TV9,",favour
ఎమ్మెల్సీ ఎన్నికలు వైసీపీ అసంతృప్తులపై టిడిపి ఆశలు - Tdp Mlc …,neutral
"250 కోట్లతో ఏపీలో పెట్టుబడులు పెడుతున్న ఎలిస్టా - ఎలక్ట్రానిక్ తయారీ సంస్థ టీవీలు, మానిటర్ల తయారీ ప్లాంటును ఏర్పాటు…",favour
దేశంలోనే ఎక్కడ లేని శాలరీలు ఇచ్చి ఆశావర్కర్లను ఆదుకుంటున్నాడు మన సీఎం జగనన్న,favour
టీడీపీలోకి 16 మంది వైసీపీ ఎమ్మెల్యేలు ? జగన్ లో వణుకు   జగన్  ,against
టీడీపీ సభ్యులపై మంత్రి అంబటి సెటైర్ గొడవ చేయడం కంటే రాకుండా ఉంటే మంచిది,against
టీడీపీలోకి 16 మంది వైసీపీ ఎమ్మెల్యేలు ? జగన్ లో వణుకు   జగన్  ,against
శత్రువులను ధహించే అగ్నిగోళం,neutral
సైకిల్స్ తుప్పు పట్టి పోయాయి వీడియో కాన్ఫరెన్స్ లో స్కూల్ పిల్ల సంచలన వ్యాఖ్యలు జగన్ నవ్వులు వీడియో వై…,favour
మనీ: డ్వాక్రా మహిళలకు శుభవార్త తెలిపిన జగన్ సర్కార్ ఆంధ్రప్రదేశ్ ప్రభుత్వంలో వైసీపీ పార్టీ అధికారంలోకి వచ్చిన త…,favour
ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు: ఫస్టు ఓటేసిన వైఎస్ జగన్,favour
ఏపీ అసెంబ్లీలో జగనన్న కాన్వాయ్ విజువల్స్,favour
మొదటి గంటలోనే 50 మందికి పైగా ఓటు హక్కు వినియోగించుకున్న వైసీపీ ఎమ్మెల్యే లు,favour
MLC Elections ఓటు హ‌క్కు వినియోగించుకున్న సీఎం జ‌గ‌న్‌,favour
ముఖ్యమంత్రి వైఎస్‌ జగన్‌మోహన్‌రెడ్డి తన ఓటు హక్కును వినియోగించుకున్నారు ఇప్పటివరకు 35 మంది ఎమ్మెల్యేలు ఓటు వేశారు…,favour
ఎమ్మెల్యే కోటాలో ఖాళీ అయిన ఏడు ఎమ్మెల్సీ స్థానాల‌కు ఓటు హక్కును వినియోగించుకున్న సీఎం శ్రీ వైయ‌స్ జ‌గ‌న్ గారు …,favour
Honour మా అమ్మాయినే పెళ్లి చేసుకుంటావా న‌డిరోడ్డుపై జ‌గ‌న్‌ను గొంతుకోసి చంపిన యువ‌తి బంధువులు …,against
23-3-2023 ఈరోజు మన ముఖ్యమంత్రి శ్రీ వైఎస్ జగన్మోహన్ రెడ్డి…,favour
అసెంబ్లీలోని కమిటీ హాల్లో ఎమ్మెల్సీ ఎన్నికల ఓటు హక్కు వినియోగించుకున్న ముఖ్యమంత్రి వైయస్ జగన్,favour
ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికల్లో తన ఓటు హక్కును వినియోగించుకున్న జగనన్న,favour
ఓటు హక్కు వినియోగించుకున్న జగనన్న,favour
తొలి ఓటు వేసిన జగన్,favour
"వైసిపి ఇద్దరు MLA లు పార్టీకి దూరం అవుతున్నారా? కానీ, అక్కడ ఆల్రెడీ వేరే ఇన్చార్జ్ లను ప్రకటించారు …",neutral
అత్యాధునిక సాంకేతికతతో వైయస్ఆర్ జగనన్న శాశ్వత భూహక్కు మరియు భూరక్ష పథకం కింద చేస్తున్న డిజిటల్ సర్వే ద్వారా గ్రామ…,favour
చిట్ట చివరికి తెలుగుదేశం పార్టీ క్యాండిడేట్ ని కూడా పెట్టలేని పరిస్థితికి వచ్చేసింది  …,neutral
ఎమ్మెల్యే కోటాలోని ఏడు ఎమ్మెల్సీ స్థానాలకు నేటి ఉదయం 9 గంటలకు వెలగపూడిలోని ఆంధ్రప్రదేశ్ రాష్ట్ర శాసనసభ మొదటి అంతస్తులో…,neutral
ఎమ్మెల్సీ ఎన్నికల్లో ఓటు హక్కు వినియోగించుకున్న సీఎం జగనన్న,favour
ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు ఓటు హక్కు వినియోగించుకున్న సీఎం వైఎస్ జగన్,favour
3/20 నిన్న దాకా లో యువతస్థాయి డెవలప్మెంట్ అంటూ ప్రచారం జగన్ రెడ్డి బొమ్మతో సిమెన్స్ తన క్రెడిట్ అ…,favour
2/20 సిమెన్స్ ద్వారా అని ప్రచారం చేసుకున్నారు కదరా తెలంగాణ ఇండస్ట్రీలో జాబ్ వాళ్ళకి కూడా…,neutral
నెల్లూరు అయినా అమెరికా అయినా అనిల్ కుమార్ యాదవ్ క్రేజ్ తగ్గేదేలే,neutral
కేటీఆర్ మీద కూడా ఒక ట్వీట్ వెయ్యి కంపెనీ బెంగళూరు పోయిందటగా అని ఏడడుగులు గొయ్యి తీసి బొందలో పెడతాడు …,neutral
"నేడు ఏపీ ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు - ,",neutral
మీకు మరియు మీ కుటుంబ సభ్యులకు ఉగాది శుభాకాంక్షలు,neutral
"హిస్టరీ రిపీట్ టీవీ5, ఈటీవీ, ఎబిఎన్ చంద్రబాబు, వీరి దత్తపుత్రుడు ఎవరు అడ్డొచ్చిన 2024 లో బాక్సులు బద్దలవడం ఖాయం…",favour
మచిలీపట్నం ఫిషింగ్ హార్బర్ ఏరియల్ వ్యూ రూ 422 కోట్లతో ఆంధ్రప్రదేశ్ ప్రభుత్వం నిర్మిస్తున్న మచిలీపట్నం ఫిషింగ్…,favour
అనీల్ కుమార్ యాదవ్ గారికి పుట్టినరోజు శుభాకాంక్షలు,neutral
"స్టూడెంట్స్ కి ఇచ్చే పథకాల గురించి మాట్లాడే అర్హత టీడీపీ జనసేనకి లేదు , అర్హత ఉన్న వాళ్ళ అందరికీ పథకాలు వస్తున్నాయి…",favour
పవిత్ర రంజాన్ మాసం ప్రారంభమైన సందర్భంగా ముస్లిం సోదరసోదరీమణులందరికీ హృదయపూర్వక శుభాకాంక్షలు రంజాన్ మాసంలో అత్యంత…,neutral
"-లాభం లేదు""దిష్టి చుక్క పెట్టాలి సామి మీకు జగన్ మోహన్",favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
ఎవడ్రా పవన్ కళ్యాణ్ నేను కాపునే కాని వాడికి అస్సలు ఓటు వెయ్యను కాపులందరు జగన్ కే ఓటు ఏస్తారు,favour
మా కాపులందరూ జగనన్నకే ఓటు వేస్తారు,favour
ఏపీలో ఆసక్తికరంగా ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు,neutral
ప్రతి కుటుంబం లక్ష రూపాయలు దాటే లబ్ది పొందుతున్నారు గతం లో రూపాయీ కూడా రాలేదు,favour
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
"వాడెవడండి పవన్కళ్యాణ్ సింహం సింగిల్ గానే వస్తుంది, మళ్ళీ మా జగనన్నే సీఎం",favour
ఈరోజు జగన్ అన్న వల్లే మా ఆయన బ్రతికాడు 1/3,favour
"వాడెవడండి పవన్కళ్యాణ్ సింహం సింగిల్ గానే వస్తుంది, మళ్ళీ మా జగనన్నే సీఎం",favour
అవినీతిపరుడు అని బుక్ తయారు చేసే కదా అది ఏమైంది అంటున్న స్టే తె…,neutral
జగన్ S/O YSR VV తండ్రి స్థాయిని మరింత పెంచుతూ ప్రతి క్షణం ప్రజాహితం కోసం పని చే…,favour
ఒక్క ఎమ్మెల్యే కూడా చేజారకుండా అధికార పార్టీ జాగ్రత్తలు - ఆత్మప్రబోధానుసారం ఓటేయాలని టీడీపీ పిలుపు - టీడీపీ అభ్య…,neutral
రాజకీయ పంచాగాల లెక్కలు వేరేగా ఉంటాయి ఎవరి పంచాంగం వారికే అనుకూలంగా చెపుతుంది,neutral
7 స్థానాలు 8 మంది పోటీ శిబిరాల్లో ఎమ్మెల్యేలు,neutral
లోకేష్ పాదయాత్రకు పెజా స్పందన అని ఎల్లో మీడియా ఓ భజన రియాలిటీ ఇదీ 400 రోజులు లోకేష్ వెనక తిరగడానికి ఒక్కొక్కరికీ నెల…,neutral
"1000/-మాట నిలబెట్టుకోలేని లోకేష్, హామీలు ఎలా నెరవేరుస్తాడని ప్రజలు అనుకుంటున్నారు నారా లోకేష్ పాదయాత్రకి వచ్చినందుకు ఒ…",neutral
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
ఒరేయ్ ఎర్రి హూకా జగన్ రాక ముందు ఎక్కడ ఉంటారో ఇప్పుడు కూడా అక్కడే ఉంటా…,against
కేటీఆర్ మీద కూడా ఒక ట్వీట్ వెయ్యి కంపెనీ బెంగళూరు పోయిందటగా అని ఏడడుగులు గొయ్యి తీసి బొందలో పెడతాడు …,neutral
మచిలీపట్నం ఫిషింగ్ హార్బర్ ఏరియల్ వ్యూ  రూ 422 కోట్లతో ఆంధ్రప్రదేశ్ ప్రభుత్వం నిర్మిస్తున్న మచిలీపట్నం ఫిషింగ్ హా…,favour
సీఎం వైయ‌స్ జ‌గ‌న్ హ‌యాంలో ఏపీ 1143 శాతం జీఎస్డీపీ వృద్ధి రేటుతో దేశంలోనే నెంబ‌ర్ 1 స్థానంలో ఆంధ్ర‌ప్ర‌దేశ్ ని…,favour
"ఉగాది నాటికి 5 లక్షల ఇళ్లు, విశాఖపట్నం నుండి పాలన, జగన్ రెడ్డి వాళ్తేర్ క్యాంపు అన్నీ తూచ్ నా బొడ్డేనా …",neutral
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
సేంద్ర గాడు paul ఐతే జలగ్గాడు bro  ఇద్దరూ దొంగలే,favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"Nedu జగన్ Promises  1, 95 శాతం హామీలు అమలు చేసామని చెపుతున్న రాష్ట్ర ప్రభుత్వం ‌కానీ దాంట్లో‌ సగం…",favour
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
"ఉగాది నాటికి 5 లక్షల ఇళ్లు, విశాఖపట్నం నుండి పాలన, జగన్ రెడ్డి వాళ్తేర్ క్యాంపు అన్నీ తూచ్ నా బొడ్డేనా …",neutral
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
విజయవాడ - హైద్రాబాద్ ఫస్ట్ ఎలక్ట్రిక్ బస్,neutral
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
ఏపీలో ఆసక్తి రేపుతున్న ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు -,favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"-లాభం లేదు""దిష్టి చుక్క పెట్టాలి సామి మీకు జగన్ మోహన్",favour
విష్ణుకుమార్ రాజు గారు మీలాంటి వాళ్ళు ఒక్క నలుగురు నాయకులు తప్ప బీజేపీలో మిగతా నాయకులంతా వైసీపీకి కొమ్ముకాస్తున్నారనేది అ…,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
పల్లె రఘనాథరెడ్డి పెద్ద చిల్లర గాడు నార లోకేష్ పాదయాత్రకి వచ్చినందుకు 1000 రూపాయలతో పల్లె రఘునాథ రెడ్డి ఇస్తే…,neutral
స్కూలు పిల్లలకోసం గోరుముద్దలో భాగంగా వారంలో ౩ రోజులపాటు రాగిజావ కార్యక్రమంలో శ్రీ సత్యసాయి ట్రస్టు భాగస్వామ్యం క్యాం…,neutral
తిరుమలగిరి (సాగర్) మండలం సపావత్ తండా గ్రామం లో తుల్జా భవాని పండగ కు గ్రామస్తుల ఆహ్వానం కొరకు విచ్చేసి భవాని మాతను దర్శిం…,neutral
కేటీఆర్ మీద కూడా ఒక ట్వీట్ వెయ్యి కంపెనీ బెంగళూరు పోయిందటగా అని ఏడడుగులు గొయ్యి తీసి బొందలో పెడతాడు …,neutral
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
కేటీఆర్ మీద కూడా ఒక ట్వీట్ వెయ్యి కంపెనీ బెంగళూరు పోయిందటగా అని ఏడడుగులు గొయ్యి తీసి బొందలో పెడతాడు …,neutral
పావలా లొల్లి,neutral
కేటీఆర్ మీద కూడా ఒక ట్వీట్ వెయ్యి కంపెనీ బెంగళూరు పోయిందటగా అని ఏడడుగులు గొయ్యి తీసి బొందలో పెడతాడు …,neutral
మచిలీపట్నం ఫిషింగ్ హార్బర్ ఏరియల్ వ్యూ రూ 422 కోట్లతో ఆంధ్రప్రదేశ్ ప్రభుత్వం నిర్మిస్తున్న మచిలీపట్నం ఫిషిం…,favour
కేటీఆర్ మీద కూడా ఒక ట్వీట్ వెయ్యి కంపెనీ బెంగళూరు పోయిందటగా అని ఏడడుగులు గొయ్యి తీసి బొందలో పెడతాడు …,neutral
"-లాభం లేదు""దిష్టి చుక్క పెట్టాలి సామి మీకు జగన్ మోహన్",favour
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
కేటీఆర్ మీద కూడా ఒక ట్వీట్ వెయ్యి కంపెనీ బెంగళూరు పోయిందటగా అని ఏడడుగులు గొయ్యి తీసి బొందలో పెడతాడు…,neutral
Okay okay ఇలాంటి లు ఈశ్వర్ అన్న స్పేస్ నుండే జరగాలి అయ్యో మీ గురిం…,neutral
సీఎం శ్రీ వైయస్ జగన్‌ గారి నివాసంలోని గోశాలలో నిర్వహించిన ఉగాది వేడుకల్లో పాల్గొన్న శ్రీ వైయస్ జగన్ దంపతులు YS Ja…,favour
"ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వెళ్లినా, బాబు…",favour
"అదే సహనం అదే సంయమనం  అదే చిరునవ్వు అదే ఆత్మస్థైర్యం సానుభూతి అనే పదాన్ని వాడుకోవాలంటే, జగనన్నకి ఉన్నంత అవకాశం…",favour
ప్రజామోదం లేని నేతృత్వంలో ఎన్నికలకు వెళితే మరోసారి 2019 ఫలితాలు రిపీట్ అవ్వడం పక్కా విడివిడిగా వె…,favour
"ముఖ్యమంత్రి వైఎస్ జగన్ మోహన్గారు త‌న నివాసంలోని గోశాలలో ఉగాది వేడుకలు ఘనంగా జరిగాయి తెలుగు ప్రజల సంప్రదాయం, ఆ…",favour
జలగ బోల్లి,against
అంటేజగన్ bro ది కూడా మిధున రాశి అంటalrey అవుతు…,neutral
bro చాలా మంది పనికిమాలిన ఎమ్మెల్యే పనితనం వాళ్ల లోకి రావాలి జగన్ …,against
"*ముఖ్యమంత్రి వైఎస్ జగన్ మోహన్గారు త‌న నివాసంలోని గోశాలలో ఉగాది వేడుకలు ఘనంగా జరిగాయి తెలుగు ప్రజల సంప్రదాయం,…",favour
జగన్babu420 ఏంట్రా కొజ్జా నాయాల,against
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
ఈ వీడియో బాగా వైరల్ చెయ్యండి బొల్లి గాడి అసలు రంగు అందరికి తెలియాలి,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
"బీజేపీ పై జనసేన ఫైర్ బయటపడ్డ చీకటి రహస్యం పవన్ కు మోడీ ,చంద్రబాబు బిగ్ షాక్  99TV …",neutral
Machilipatnam Work's రూ 422 కోట్లతో ఆంధ్రప్రదేశ్ ప్రభుత్వం నిర్మిస్తున్న మచిలీప…,against
ఆంధ్రప్రదేశ్ పాలనలో విద్యా శాఖ లో సాహస నిర్ణయాలలో మాత్రం 2018 నుండి స్వర్ణయుగమే అది ని…,favour
తాడేపల్లి: ముఖ్యమంత్రి వైయస్ జగన్‌మోహన్‌రెడ్డి గారి నివాసంలోని గోశాలలో నిర్వహించిన ఉగాది వేడుకల్లో పాల్గొన్న వైయస్…,favour
చేప్పు ర కొడకా,against
అరేయ్ లంజ కొడకా,against
వైజాగ్,neutral
బలం,favour
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
నార లోకేష్ పాదయాత్రకి వచ్చినందుకు 1000 రూపాయలతో పల్లె రఘునాథ రెడ్డి ఇస్తే మాకు 500 మాత్రమే ఇస్తారా అంటూ టీడిపి నాయకు…,neutral
"-లాభం లేదు""దిష్టి చుక్క పెట్టాలి సామి మీకు జగన్ మోహన్",favour
శాససభలో జరిగిన గొడవకి పోలీస్ స్టేషన్లో కేసు పెట్టడం అంటే స్పీకర్ ని అవమానించటం కాదా,neutral
ఈ లెక్కన పాదయాత్ర ముగిసేసరికి పెయిడ్ ఆర్టిస్టులకే దాదాపు రూ100 వంద కోట్లు ఖర్చు అవుతుందే ఇక మిగిలిన బిల్డప్ లకు ఎన్ని…,against
నార లోకేష్ పాదయాత్రకి వచ్చినందుకు 1000 రూపాయలతో పల్లె రఘునాథ రెడ్డి ఇస్తే మాకు 500 మాత్రమే ఇస్తారా అంటూ టీడిపి నాయకు…,neutral
పుట్టపర్తి నియోజకవర్గంలో పాదయాత్రకి వచ్చిన వారికి 500 ఇస్తున్న తెలుగు తమ్ముళ్లు,neutral
పుట్టపర్తి నియోజకవర్గంలో పాదయాత్రకి వచ్చిన వారికి 500 ఇస్తున్న తెలుగు తమ్ముళ్లు,neutral
వైఎస్ జగన్ మోహన్దలిత ఎమ్మెల్యే చేతి మీద చిన్న గీత పడితే అంత ఓవర్ యాక్షన్ చేసావు? ఈ దలిత బిడ్డని అతి దారుణంగా చంపా…,against
